track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
37Uy4OBd93yP89ZhCj5je2,Sweat Sonic,0.715,0.0137,0.871,132.008,0.84,-8.591,0.0863,382488,0,0.588,0.0572,1
6On9zhsdq3gbnGmdfLeCxR,Lens - O'Flynn Remix,0.64,0.0325,0.766,131.023,0.919,-9.972,0.135,335795,11,0.118,0.0388,0
0U2fb4cYZyTAFe998npOqh,MDS (with Theophilus London),0.83,0.00717,0.671,131.986,0.000779,-7.177,0.118,176658,7,0.366,0.144,1
4mJAhcdnp1wPhQK7ODF24h,Ultraviolet,0.529,0.00497,0.812,147.967,0.837,-7.826,0.102,284128,1,0.0549,0.0369,1
1RonSMfR2Ob1qzmbKG1GQV,The Distance,0.709,0.185,0.8,124.977,0.865,-6.141,0.111,291840,10,0.211,0.0477,0
56BkhyZS6uapZH69FdhAPU,Dreizehnspecht - Nathan Fake Remix,0.55,0.0581,0.574,129.976,0.897,-9.551,0.11,493823,10,0.0522,0.201,0
4VGa1by1qnmiV4JSde3mnz,Partner - Edit,0.7,0.0416,0.743,127.003,0.829,-11.148,0.131,274016,2,0.138,0.0398,1
5kdXiiF8MxyLVhRjkVv9jQ,Sit Around The Fire,0.219,0.92,0.231,62.744,0.793,-24.187,0.114,502705,8,0.157,0.0672,1
3jpfUbj7yYPro4RTGu4ehj,Naked (Totally Enormous Extinct Dinosaurs Remix),0.757,0.00491,0.981,129.993,0.81,-5.027,0.0868,289587,8,0.724,0.0564,1
7Dm1ErVV1wpu2T6Rc8ZMIY,Stairzzzzzz,0.505,0.197,0.837,180.062,0.798,-7.743,0.101,319489,1,0.243,0.046,1
1LsZ5aoUJlphyNglORxQO3,Breaking My Mind - Jacques Greene Remix,0.772,0.0295,0.807,132.003,0.887,-5.583,0.0772,280470,2,0.793,0.0571,1
4QNMkhd49G4xJVQCrbrhst,The Daisy,0.704,0.313,0.613,132.036,0.16,-12.355,0.0952,338182,8,0.251,0.0713,0
2LDbHa87vrruqNVfN5Qkdp,La Nota,0.804,0.225,0.617,124.001,0.834,-10.138,0.134,291846,6,0.604,0.0634,0
7a14IX8l5Is5uAWlytxEkt,layer 6,0.8,0.167,0.794,169.987,0.681,-10.199,0.115,249013,0,0.141,0.146,1
3jpY5FadMxgQ48NULttOpw,Silk,0.74,0.000912,0.749,127.969,0.903,-7.885,0.0918,302795,10,0.498,0.0641,0
5dyFpHnCShXfEmDoKIg0J5,Naked,0.868,0.0028,0.811,120.05,0.000232,-5.037,0.114,218973,1,0.791,0.0358,1
4VP8nqMq7eN3vMnuAaptax,Capo,0.597,0.988,0.17,127.306,8.91e-05,-13.762,0.109,175874,0,0.556,0.0351,1
4yFiV8qwdQ2n1cF1l4BYWJ,The Snoofer,0.86,0.197,0.624,129.989,0.736,-12.787,0.0425,347046,7,0.126,0.0579,0
0TTkaLfS2hki3WGEf4gXfr,Dry Bridge,0.544,0.823,0.815,121.021,0.923,-13.041,0.111,330569,10,0.804,0.0378,1
0gljB4tf7L1JztTaSBG3AN,uMsholozi,0.825,0.0113,0.53,112.996,8.83e-06,-12.823,0.0794,401455,11,0.304,0.0506,0
6xHNcrzXu4SsqHazYSzMRK,Nan & Pop,0.687,0.105,0.817,133.008,0.818,-7.978,0.837,539000,6,0.405,0.0391,0
389Clr9DJatdSJRUVhunYG,Quiet,0.574,0.104,0.737,108.006,0.837,-10.845,0.0847,306296,2,0.114,0.0324,0
0gpMU1RQvZdPLLp8wpJzBF,BMW Track,0.738,0.0153,0.914,133.994,0.876,-5.998,0.61,443800,11,0.829,0.0479,0
5PqTJr6Wn1WBW1NdlRmSQL,Good2u,0.561,0.145,0.49,102.912,8.76e-05,-8.888,0.076,188702,3,0.203,0.0651,0
2fIJ9GRxLhI1wMf017CF7Q,Waterbaby,0.56,0.465,0.376,196.062,0.631,-18.37,0.104,186453,2,0.49,0.0643,1
38vxstSXciei0IuEO2MoGI,Running (feat. Ghetts),0.718,0.535,0.67,139.938,0.264,-8.721,0.675,242973,1,0.509,0.0494,1
6rFoXa2T7l7elYqXxYCvDz,If U Ever,0.83,0.809,0.407,132.978,0.68,-16.119,0.107,288331,5,0.409,0.121,0
1MNNFp9MUgIEbbK24oCmbf,Stare,0.573,0.11,0.574,154.01,0.0438,-10.924,0.329,221679,6,0.3,0.0563,1
10b75UgPxnaE8caGoUlB2q,Dog Walking in the Park,0.805,0.707,0.775,134.999,0.9,-8.329,0.11,233744,5,0.715,0.0365,0
2XgqIg1xo9bvzyK0DEnqxN,Modern Driveway,0.123,0.859,0.0372,82.023,0.88,-28.639,0.106,247120,10,0.0466,0.0392,0
49KMGrpCasQj4bP7R27nEL,Talia,0.615,0.0211,0.716,128.98,0.912,-9.675,0.0895,273953,1,0.29,0.0429,1
4a5z3bW1U4I1priOzKP7ez,Go With Us,0.765,8.99e-05,0.501,130.005,0.901,-12.766,0.0853,343385,1,0.381,0.0796,1
5OBUmFuhkit7MYdaVZc2bs,The Limit,0.434,0.518,0.596,89.0,0.493,-10.013,0.122,321204,9,0.139,0.16,0
20Q1NJcsDQthZNs1g3T6e7,Young Lies,0.712,0.0206,0.673,121.008,0.0176,-8.295,0.327,230840,1,0.389,0.0643,1
7dVLHkc734gAHFg9uqV84k,New World,0.714,0.0161,0.922,121.996,0.895,-5.348,0.07,276204,2,0.844,0.0407,1
4CnTM4yeCex2Bf0ooctPs1,"5,6,7,8 (Dance Is Life)",0.59,0.0342,0.703,151.818,0.891,-11.234,0.0934,386040,2,0.783,0.0643,0
5HAw7FMmW6DI9fqXDqdaLT,Home Demo,0.785,0.00615,0.357,125.015,0.537,-18.544,0.0633,265440,1,0.551,0.137,1
