id,key,instrumentalness,energy,acousticness,danceability
2u0bltYG3O7B8LFwkPBdq9,1,0.931,0.296,0.94,0.162
0X08uOUo8CAXyAZR1l2rAA,5,0.206,0.779,0.186,0.739
51otAp4ocieYr1ogeg4Why,2,0.803,0.703,0.0511,0.622
1SpDxVwy2xFJUqHRSEVnvV,1,0.757,0.894,0.00518,0.605
1eA59y8cRdu5kZKn1WBXIc,9,0.885,0.357,0.148,0.802
6MAL1HIq8S2qiKrdFiQAHF,1,0.316,0.894,0.0655,0.371
6fd6PaAxm5J6C99g8MqQbA,7,0.824,0.0526,0.934,0.0818
23ntXG1ogtHWnRjaYwu6qJ,7,0.928,0.578,0.159,0.601
7FXFWfEXCICfbaxONGRfYN,6,0.857,0.669,0.000688,0.81
2AL5OhY8Vgv32WO4H3azNb,5,0.816,0.924,0.00802,0.713
5GDteA9nob1rnxgE1KFx5l,7,0.622,0.435,0.759,0.444
0QdbS9B2RzhZguWemGB17d,2,0.625,0.65,0.000975,0.652
6cAs4CHN3J1lR2DYeY0q2y,10,0.804,0.857,0.00619,0.726
4Yf9QLUM8EeHaCS7EnaHnX,0,0.525,0.375,0.467,0.425
6CxfaUiVzPPjxtyDwjiH6q,4,0.182,0.671,0.213,0.731
34HuLnIAKBTqWMLV4b5BPS,10,0.869,0.927,0.0101,0.768
6t70HWfOrRgHlv5reQHTB6,4,0.925,0.0169,0.9,0.0813
3xD9KPvIfr5YxcJw5XaXvf,8,0.000132,0.665,0.117,0.732
63LhxeWrZEuYNiNEOktHzP,8,0.928,0.00932,0.956,0.513
7MWVGiavgsbWgn9yZ6MNPv,7,0.901,0.157,0.73,0.259
1d9N4jaFExc5m9AptU6mpg,7,0.947,0.392,0.69,0.194
6pFsYKPltQ3O8Jg0ChL07a,1,0.0205,0.516,0.381,0.403
6kTteVJEEkVs3Zges11EPO,1,0.801,0.674,0.0624,0.435
0l6acwkMvrn2mitwpLEXhs,7,0.779,0.621,0.0391,0.626
04l9bUZEsUkF6zy7hIjbbT,0,0.0565,0.582,0.234,0.655
463xc1d1XJV3PERNwJlIWo,6,0.756,0.898,0.0767,0.671
7KY7cq27ZmCcLWre4SdI6m,11,0.79,0.865,0.0069,0.738
7ihwGiBDcSFAnbqtVdPCfr,3,0.872,0.154,0.598,0.135
47Y0rL0NmIstJxFgVWUqVA,9,0.83,0.724,0.00252,0.65
0O0eHO92tSDjlLirEwxad3,8,0.102,0.558,0.626,0.787
3TxH9hjKCNlHTUQsPiUaLK,3,0.908,0.663,0.591,0.488
4sRk2fj97lzuTyLbzcLeV1,6,0.929,0.13,0.921,0.292
0qC6CVPzhHF8SvLzsJAC4c,7,0.882,0.775,0.085,0.669
1EIh2eXuL7y2mPV8iWM7FY,11,0.926,0.621,0.675,0.717
17YSGfgY3BizhPL8QDF1gg,1,0.482,0.731,0.00719,0.639
60HbzrF5D4ljczKkxuJmeH,6,0.957,0.279,0.989,0.382
60qsc6l7FKzhi9cEUZfaWR,9,0.912,0.907,0.188,0.642
7rrUZc6DOkFEgJstIYtOFP,9,0.545,0.682,0.00112,0.738
0EE4etMJ3MNCuAEY4tFgrF,9,0.679,0.721,0.0011,0.765
17pno112VTzDeNAh34PMeC,2,0.926,0.124,0.925,0.12
3HGq0YLcyzhsS252BmjZOa,8,0.89,0.715,0.000605,0.297
0BuobeiCWrKv0OPKngNSHK,7,0.877,0.772,0.375,0.761
0OP2eMymGFlImhgokk2jln,0,0.905,0.458,0.00632,0.398
4crRORb2ixk978arkfwz9t,5,0.92,0.75,0.00275,0.505
1KGPWhxaYAYpLp4MVfPxAu,11,0.886,0.578,0.0426,0.292
63f31X80nqem4VeTHL2PqM,8,0.0,0.667,0.27,0.726
7C67t32g7uvuu8ycC4Czoa,1,0.494,0.372,0.069,0.773
19rwLC5rmgkzyDiP12TMha,11,0.897,0.631,0.0543,0.765
62gvCFP2ENmOSFG35MVF1M,11,0.624,0.569,0.446,0.768
6Eakq1I39qKAlyTJqc9jQL,10,0.932,0.68,0.00646,0.71
3PUylo7KayGdG3iGojzMLt,7,0.454,0.085,0.974,0.236
1fPPoPACi2dyXd6xd8caX2,7,0.938,0.375,0.959,0.426
