track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number,tempo_scaled
4e1fkCmTPjXd4qE9IkP1tx,Asia 2 - Lost Q Mix,0.366,0.00341,0.929,128.021,0.954,-4.721,0.0848,424320,7,0.613,0.141,0,941,0,0.622346346988678
2IKLt22WR7g2OHUDU1S7lS,Spastik - Dubfire Rework,0.792,3.92e-05,0.952,127.989,0.9,-8.272,0.059,570853,11,0.0419,0.049,1,942,0,0.6221907859236682
1EyFbJDDOa16wPVnXYp2Pv,Machine.Gun,0.762,1.77e-05,0.929,145.986,0.89,-10.557,0.115,311680,1,0.341,0.0837,1,943,0,0.7096793011419154
5E4Np2kVQM24Wsrr3KbMik,Breathing,0.67,0.00443,0.904,135.005,0.813,-6.982,0.129,286556,5,0.444,0.0359,0,944,0,0.6562975494270977
6NmMSF6I39txtlrWfHdZAo,Suddenly Funk - Extended Mix,0.805,0.00166,0.621,123.042,0.905,-9.646,0.087,390410,10,0.116,0.0817,0,945,0,0.5981420175297876
0MlZfLhMHhvV7g5dGveBCb,Borisch Musik,0.721,0.00215,0.981,136.921,0.866,-7.104,0.125,445960,10,0.354,0.0436,0,946,0,0.6656117681945679
1N7ACVQ3RkksVX2bXQsToa,Virton Upgraded,0.765,0.000773,0.473,127.856,0.924,-13.752,0.112,606856,1,0.0358,0.0701,1,947,0,0.6215442352472206
7qJibaVrUeO8L7h2Lqsfkz,Space Cruising - Wehbba Remake,0.527,0.000267,0.998,135.996,0.838,-6.487,0.122,365294,10,0.427,0.0599,1,948,0,0.6611150811591244
6nmqkfCABUKJ3NawfwyPMm,Fake ID,0.746,0.21,0.862,122.011,0.0363,-6.11,0.225,246970,8,0.604,0.0776,1,949,0,0.5931300344664985
5xc0373vEPsatrTqKkx5RW,Central-A,0.637,0.00336,0.999,134.984,0.866,-4.869,0.1,455778,8,0.351,0.0725,0,950,0,0.656195462478185
0sCuvsATLSfWElIGaGtCSz,Back to Basics (feat. Skepta),0.836,0.233,0.766,141.972,0.0,-5.581,0.368,194107,1,0.732,0.268,1,951,0,0.6901661100497309
5fpyAakgFOm4YTXkgfPzvV,ASAP,0.934,0.466,0.486,130.052,3.73e-05,-9.561,0.0963,134387,0,0.372,0.164,0,952,0,0.6322196133335277
