track_id,track_name,danceability,acousticness,tempo,instrumentalness,loudness,key,speechiness,mode,play_number,playlist_number,tempo_scaled
0IJl8RYM49rpcx29VCIPbS,Gamma Closure,0.792,0.00539,125.01,0.922,-10.185,11,0.0721,0,116,0,0.5039770688619496
3QUGjdpi5hs18UvhL8lDux,A Voyage To The Jet Set (Original Mix),0.507,0.0018,168.014,0.818,-8.754,10,0.0463,1,117,0,0.6773474381871178
6y5UMIVVJDsULZwfZ0bNRX,Sossaup,0.829,0.24,105.019,0.172,-4.472,1,0.0656,0,118,0,0.4233834716807702
1LwvkpRU07Ch1nSGVvNSc0,Can't Help It,0.791,0.0868,125.009,0.756,-12.054,5,0.0461,0,119,0,0.5039730373679182
0GZaDedjoVtS63GQ131cjR,89 When Things Were Fine - Demi Riquísimo Remix,0.74,0.102,126.021,0.798,-8.544,11,0.0574,0,120,0,0.5080529093276678
5Is2fHETxX7APV5U8WEUgG,Sun Express - Emergency Mix,0.67,0.00963,131.009,0.894,-11.968,2,0.0418,1,121,0,0.5281620015561567
0wkWXhsWpZtq7J8MtNF3pN,What Is This Sound? (Original Mix),0.796,7e-05,127.974,0.747,-6.43,4,0.0484,0,122,0,0.5159264171709393
5OJaO9Nw8zKlsqYyu0cHkg,Upper/Lower,0.801,0.0258,128.997,0.917,-12.486,11,0.0564,1,123,0,0.5200506355650341
0aQeovE8Qn10BrLnZiiIDq,Make This Right (Dub),0.8,0.249,125.008,0.916,-15.953,8,0.0919,1,124,0,0.5039690058738868
1CzfZY7lXaysy84x3a2jix,Midnight in Peckham,0.639,0.717,118.003,0.904,-16.293,10,0.0388,0,125,0,0.47572839018411833
24NhRqrImwerVsNlDDGyJn,Tribaile - Len Mora & Joaquin Postigo,0.807,3.15e-05,124.003,0.874,-7.176,7,0.04,1,126,0,0.49991735437235685
3hBa3kTPzzgfdW420vu4VM,Dark Side Of The Moon - Voigtmann V-Funk Remix,0.797,0.000372,130.021,0.941,-10.801,8,0.0567,0,127,0,0.52417888545316
3LrjnxTvGoJ6KvetI3o8P4,Astral Dream,0.729,0.0102,136.008,0.883,-8.539,0,0.0422,1,128,0,0.5483154402189908
2u9cQVVkAd55R3KOoPuRHU,Say You Do,0.785,3.85e-05,121.022,0.667,-10.28,6,0.0472,0,129,0,0.4878994706648337
1gQnv7ua7EzxApdD8UV07p,816 To Nunhead,0.726,0.000177,122.001,0.883,-11.05,6,0.0792,0,130,0,0.49184630332154794
7tWIvzCfe5GFZ3oA1SmPEf,Queen,0.744,0.00297,121.87,0.923,-8.304,9,0.0434,1,131,0,0.49131817760343804
4Q2IUQo8YuoCqiRrDazKK4,Water,0.525,0.106,123.854,0.000137,-5.03,6,0.0688,1,132,0,0.49931666176168227
4RrwcHywcLq3qVY7IVGxOL,Call of the Wild,0.729,0.00776,121.998,0.761,-9.234,10,0.0692,0,133,0,0.49183420883945383
2kuGUHPdB2T4uE0jwTDrUG,Abataka,0.768,0.0593,125.502,0.618,-7.942,5,0.0554,0,134,0,0.5059605639253851
58r4JuwHhXLAkttkaUZfLw,Got to Be Real,0.836,0.0943,114.657,0.742,-10.143,9,0.0335,0,135,0,0.462239011155144
5KalCBaGQtsOOl12K6spIe,Tony,0.81,0.000123,124.032,0.921,-9.259,4,0.0738,1,136,0,0.5000342676992666
0xkLzThujhf22Frzu8YP30,Sugar Snap,0.736,0.000109,133.003,0.785,-7.059,2,0.0478,1,137,0,0.5362008006547145
38tXZcL1gZRfbqfOG0VMTH,How Sweet,0.803,0.0816,124.994,5.67e-06,-2.888,1,0.0623,1,138,0,0.5039125649574475
3aBeKDc0GoCws8pJR33Ofu,Naughty Boy,0.79,6.14e-05,122.17,0.24,-9.344,10,0.0765,0,139,0,0.49252762581285
0QJ11tqN85By0nwwDJVoeP,born slipping,0.904,0.415,125.012,0.131,-10.507,8,0.307,1,140,0,0.5039851318500123
7oNOKWpTqTnTJeyLwkwWqN,better,0.734,0.421,124.001,0.443,-13.899,8,0.0535,0,141,0,0.49990929138429413
4Wrd7TpAgRmlUtcbpJCW3T,flight fm,0.797,0.00566,140.001,0.492,-7.923,9,0.0455,1,142,0,0.5644131958862635
4SXZvIjujIcmMtWbjnSwZT,Fiorucci Made Me Hardcore,0.701,0.0201,136.984,0.568,-8.227,11,0.0504,0,143,0,0.5522501783936109
0JL9dXZ2tjMabWjVjeutKH,Polyghost,0.298,0.927,127.917,0.847,-19.981,3,0.0367,0,144,0,0.5156966220111511
7gMwTtOLh618Q8lzuYtkKo,Startrack,0.529,0.00811,135.015,0.914,-2.815,4,0.0564,1,145,0,0.5443121666458373
1dvO51qavnhrsyf4VhvEHu,Dance Series One,0.805,0.0057,128.007,0.935,-13.979,10,0.0545,0,146,0,0.5160594564739747
0MtB2L07CwDyjNed91CAT5,Country Classic,0.784,0.0513,128.977,0.904,-11.302,10,0.0541,0,147,0,0.5199700056844065
7yHcVzmOsucHcSodyY9gZe,House Non Stop,0.806,0.000726,125.993,0.853,-12.901,6,0.0754,1,148,0,0.5079400274947893
2heqTatLuCB8xBhRJRl09Y,C'mon,0.809,0.000342,123.974,0.88,-11.344,1,0.0675,1,149,0,0.499800441045447
5R8cMrDnddKu6PAyDfM4Bl,Fly Over the Woods,0.78,0.000387,124.996,0.844,-13.063,4,0.064,0,150,0,0.5039206279455103
4Dk8hUx1TlSkoQ8ZzjWX1G,Ramses,0.7,0.000283,123.029,0.901,-7.478,8,0.0408,1,151,0,0.4959906791857994
6OJP6XHlR3XYzmKjSAthRe,Bunker - Jay Hill's Dreamy Tech Remix,0.867,0.000391,124.021,0.849,-10.896,8,0.37,0,152,0,0.49998992126492153
5mdqgmUY1qF1oGQWYZyszO,Alone Under The Moonlight - Original Mix,0.782,0.0746,127.007,0.878,-12.46,7,0.0527,1,153,0,0.5120279624426016
3TYKy7z16cb93etYPSl3m5,100,0.823,0.00163,123.999,0.597,-8.528,5,0.0543,1,154,0,0.49990122839623136
0yojQCkh9ljHSaO1XQEqRE,Caramba,0.619,3.28e-05,124.006,0.866,-6.082,0,0.0462,1,155,0,0.49992944885445095
6zvDsTvB0k6yLkwO1dqTQC,Hands Off My Beat,0.701,0.00523,122.996,0.861,-10.571,4,0.0388,0,156,0,0.4958576398827641
2zbGAT0zvvqOfKu9ICnBvJ,Free Your Mind,0.804,0.0186,124.013,0.771,-12.638,10,0.0549,0,157,0,0.4999576693126706
3WeBHZ8z5YVdyDojUAARjs,Relaxed,0.813,0.00217,121.526,0.907,-11.88,7,0.0522,0,158,0,0.4899313436566457
5oEIZ5G6XfTGpZIezAQTmc,Cockteaser - Original Club Mix,0.749,1.79e-05,123.999,0.933,-4.437,6,0.0481,1,159,0,0.49990122839623136
22Q9cJUBzmIxKmaHXx41XI,Only Solution - Original Mix,0.795,0.00314,126.002,0.922,-7.229,4,0.0634,1,160,0,0.5079763109410717
39SDf41peQWlcOUrBb1a0l,Acceleration - Wigbert Remix,0.8,0.0033,128.001,0.941,-13.265,2,0.0456,1,161,0,0.5160352675097865
0856mHSUyYwCUEd5Y6Cu7t,Session #027 Eat Sleep Techno Repeat - Live Improvised Modular Techno,0.725,0.00603,132.981,0.895,-7.914,0,0.0471,1,162,0,0.5361121077860244
3cWXvlMyjQXlOLgwUhnh6C,I Know,0.659,0.000436,121.047,0.807,-9.606,2,0.0467,1,163,0,0.48800025801561797
6IRaryF2FbpJQp6vtTr00X,Portland - Tuff City Kids TB Mix,0.756,0.000478,125.009,0.576,-7.259,0,0.058,1,164,0,0.5039730373679182
7nNy9RsKQnjYkJ8MyX8TpK,Pick It up Honey - Original Mix,0.719,0.00428,121.994,0.165,-2.862,3,0.091,1,165,0,0.4918180828633283
343ykKU3XE0833HZRUoTdR,Set Lasers To Stun - Rebolledo Remix,0.804,0.0109,119.991,0.81,-8.878,10,0.0566,0,166,0,0.483743000318488
38ky4k3DNjpQ1D2ChYdMaa,T35T4R0554,0.59,0.00114,144.974,0.727,-5.815,1,0.0651,1,167,0,0.5844618157042818
0dEIca2nhcxDUV8C5QkPYb,Give Life Back to Music,0.788,0.00286,119.037,0.549,-10.671,9,0.0337,0,168,0,0.47989695501255814
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),0.737,0.0149,124.051,0.000588,-4.711,11,0.0396,1,169,0,0.5001108660858627
6CbcQWMInAZQqJEsqzDn7y,Deep in Space,0.796,0.0296,127.015,0.804,-9.775,11,0.077,0,170,0,0.5120602143948526
3Cl61VRpnNGbcpugtbs4Cr,Reflex,0.81,5.56e-05,124.977,0.82,-7.843,11,0.0462,0,171,0,0.5038440295589143
7N1Oss5OE1PS3qjd6qseKc,Que bel epoque 2006,0.792,0.512,131.075,0.919,-11.712,9,0.0552,0,172,0,0.5284280801622273
038YxoOvHJKyFiXhqlVkil,Turn The Page,0.673,0.00833,130.067,0.00109,-4.496,0,0.173,1,173,0,0.5243643341786033
2KWI43agrQEFVLM3soOmKW,Something Has to Change,0.702,0.216,125.02,4.8e-06,-8.863,9,0.0328,1,174,0,0.5040173838022632
7l7jSssHTh3wFW5dSp8vwO,Octava Dimension - Elias Mazian Remix,0.803,0.00716,123.013,0.801,-10.887,9,0.0509,1,175,0,0.4959261752812975
1V65YVsO2UBzTMIXwdvG0n,Maya Bay,0.799,0.00205,109.995,0.834,-9.578,2,0.0441,0,176,0,0.44344418598088264
1LH0hCN39QMlAPhrBpCsic,Jaunt,0.791,0.00631,124.995,0.909,-9.29,7,0.0629,1,177,0,0.503916596451479
5EGJ7e7frJjYja6H4afzoT,Bambro Koyo Ganda,0.723,0.21,115.518,0.334,-10.22,1,0.0572,1,178,0,0.4657101275161562
49vNlVxrCBf5WwUCDySVuN,Blood In The Snow - Tibi Dabo Remix,0.79,0.0132,130.99,0.859,-7.213,0,0.0476,1,179,0,0.5280854031695607
